episode,iou,type_correct,perplexity,novelty_bonus,reward_a,reward_b,true_type,pred_type,true_span,pred_span,chosen_type
50,0.0,False,18.09803581237793,0.0,0.0,0.0,token,semantic,"(8, 24)","(65, 67)",token
100,0.6818181818181818,False,14.104557037353516,0.19,-0.6438181818181817,0.6818181818181818,syntactic,token,"(36, 52)","(30, 51)",syntactic
150,0.24,False,8.063358306884766,0.1,-0.21999999999999997,0.24,semantic,token,"(36, 52)","(2, 48)",semantic
200,0.0,True,11.975160598754883,0.16000000000000003,-0.46799999999999997,0.5,positional,positional,"(8, 24)","(44, 56)",positional
250,0.0,False,12.140295028686523,0.19,0.038000000000000006,0.0,semantic,positional,"(8, 24)","(24, 59)",semantic
300,0.5217391304347826,False,23.14683723449707,0.15000000000000002,-0.49173913043478257,0.5217391304347826,positional,token,"(8, 24)","(12, 31)",positional
350,0.0,False,22.26308822631836,0.12,0.024,0.0,semantic,syntactic,"(8, 24)","(57, 64)",semantic
400,0.23809523809523808,False,37.509586334228516,0.039999999999999994,-0.6055745548066638,0.23809523809523808,token,semantic,"(60, 76)","(55, 65)",token
450,0.0,False,21.499488830566406,0.11000000000000001,0.022000000000000006,0.0,token,semantic,"(60, 76)","(1, 9)",token
500,0.0,False,29.400157928466797,0.17,0.034,0.0,semantic,syntactic,"(36, 52)","(2, 11)",semantic
550,0.25925925925925924,False,18.67999267578125,0.16000000000000003,-0.22725925925925924,0.25925925925925924,semantic,token,"(60, 76)","(49, 67)",semantic
600,0.0,True,28.541471481323242,0.13999999999999999,-0.472,0.5,token,token,"(8, 24)","(42, 58)",token
650,0.0,False,16.21694564819336,0.16000000000000003,0.03200000000000001,0.0,token,positional,"(60, 76)","(21, 42)",token
700,0.1875,False,30.692487716674805,0.19,-0.18412438583374022,0.1875,semantic,positional,"(60, 76)","(69, 72)",semantic
750,0.0,False,56.68434143066406,0.030000000000000006,-1.3282170715332031,0.0,syntactic,positional,"(36, 52)","(20, 33)",syntactic
800,0.0,False,18.69395637512207,0.12,0.024,0.0,token,positional,"(60, 76)","(0, 22)",token
850,0.0,False,29.5419864654541,0.09,0.018,0.0,syntactic,semantic,"(60, 76)","(14, 20)",syntactic
900,0.0,False,23.520402908325195,0.16000000000000003,0.03200000000000001,0.0,semantic,positional,"(36, 52)","(65, 66)",semantic
950,0.5925925925925926,False,20.79995346069336,0.06999999999999999,-0.5785925925925925,0.5925925925925926,syntactic,token,"(36, 52)","(35, 62)",syntactic
1000,0.0,False,20.91087532043457,0.06999999999999999,0.013999999999999999,0.0,syntactic,semantic,"(36, 52)","(27, 31)",syntactic
1050,0.0,False,30.243253707885742,0.05,-0.0021626853942871074,0.0,syntactic,positional,"(8, 24)","(59, 59)",syntactic
1100,0.0,False,30.039724349975586,0.09,0.0160137825012207,0.0,token,positional,"(60, 76)","(28, 55)",token
1150,0.0,False,49.748512268066406,0.010000000000000009,-0.9854256134033204,0.0,token,positional,"(60, 76)","(12, 16)",token
1200,0.0,False,40.24014663696289,0.15000000000000002,-0.4820073318481445,0.0,syntactic,semantic,"(8, 24)","(56, 59)",syntactic
1250,0.0,False,11.738160133361816,0.09,0.018,0.0,token,positional,"(8, 24)","(71, 71)",token
1300,0.0,False,21.78152847290039,0.08000000000000002,0.016000000000000004,0.0,syntactic,positional,"(8, 24)","(39, 40)",syntactic
1350,0.24615384615384617,False,29.37554359436035,0.12,-0.22215384615384617,0.24615384615384617,token,semantic,"(8, 24)","(7, 72)",token
1400,0.0,False,11.609519958496094,0.09,0.018,0.0,syntactic,semantic,"(36, 52)","(80, 80)",syntactic
1450,0.08888888888888889,False,36.60029220581055,0.1,-0.3989034991794162,0.08888888888888889,syntactic,positional,"(36, 52)","(7, 40)",syntactic
1500,0.375,False,27.399812698364258,0.06000000000000001,-0.363,0.375,syntactic,positional,"(60, 76)","(44, 72)",syntactic
1550,0.8823529411764706,False,26.393413543701172,0.09,-0.8643529411764705,0.8823529411764706,syntactic,positional,"(36, 52)","(37, 53)",syntactic
1600,0.0,False,8.412557601928711,0.09,0.018,0.0,semantic,positional,"(8, 24)","(38, 38)",semantic
1650,0.0,False,6.865885257720947,0.06000000000000001,0.012000000000000004,0.0,semantic,positional,"(36, 52)","(8, 25)",semantic
1700,0.0,False,8.957742691040039,0.06000000000000001,0.012000000000000004,0.0,semantic,positional,"(36, 52)","(30, 30)",semantic
1750,0.0,False,67.47747802734375,0.17,-1.8398739013671876,0.0,syntactic,positional,"(36, 52)","(13, 19)",syntactic
1800,0.0,True,34.09225082397461,0.11000000000000001,-0.6826125411987305,0.5,semantic,semantic,"(36, 52)","(3, 13)",semantic
1850,0.0,False,11.184859275817871,0.15000000000000002,0.030000000000000006,0.0,semantic,positional,"(36, 52)","(17, 18)",semantic
1900,0.0,False,7.750424861907959,0.030000000000000006,0.006000000000000002,0.0,semantic,positional,"(36, 52)","(29, 31)",semantic
1950,0.09090909090909091,False,14.909292221069336,0.15000000000000002,-0.060909090909090906,0.09090909090909091,semantic,token,"(8, 24)","(18, 74)",semantic
2000,0.0,False,113.2789306640625,0.11000000000000001,-4.141946533203125,0.0,token,positional,"(8, 24)","(41, 44)",token
2050,0.0,False,116.12750244140625,0.15000000000000002,-4.276375122070312,0.0,token,positional,"(60, 76)","(40, 42)",token
2100,0.0,False,35.19855880737305,0.13,-0.2339279403686523,0.0,syntactic,positional,"(8, 24)","(44, 55)",syntactic
2150,0.625,True,74.21585083007812,0.17,-3.3017925415039064,1.125,positional,positional,"(60, 76)","(60, 70)",positional
2200,0.0,False,105.22859954833984,0.08000000000000002,-3.7454299774169924,0.0,token,positional,"(60, 76)","(20, 39)",token
2250,0.0,False,115.95901489257812,0.13,-4.2719507446289064,0.0,syntactic,positional,"(36, 52)","(60, 62)",syntactic
2300,0.09523809523809523,False,109.00163269042969,0.08000000000000002,-4.02931972975958,0.09523809523809523,token,positional,"(60, 76)","(13, 66)",token
2350,0.23809523809523808,False,129.50128173828125,0.08000000000000002,-5.0,0.23809523809523808,token,positional,"(8, 24)","(3, 13)",token
2400,0.7647058823529411,False,179.76002502441406,0.13999999999999999,-5.0,0.7647058823529411,syntactic,positional,"(8, 24)","(7, 21)",syntactic
2450,0.125,True,280.04827880859375,0.13,-5.0,0.625,positional,positional,"(8, 24)","(8, 10)",positional
2500,0.5454545454545454,False,37.73247146606445,0.12,-0.908078118757768,0.5454545454545454,semantic,positional,"(60, 76)","(54, 72)",semantic
2550,0.0,False,48.85530090332031,0.19,-0.9047650451660156,0.0,semantic,positional,"(60, 76)","(29, 40)",semantic
2600,0.43333333333333335,False,35.30724334716797,0.16000000000000003,-0.6666955006917318,0.43333333333333335,syntactic,positional,"(8, 24)","(11, 38)",syntactic
2650,0.0,True,129.14381408691406,0.17,-5.0,0.5,positional,positional,"(8, 24)","(60, 65)",positional
2700,0.19444444444444445,False,105.49779510498047,0.09,-3.9513341996934686,0.19444444444444445,semantic,positional,"(60, 76)","(40, 67)",semantic
2750,0.26229508196721313,True,55.637290954589844,0.16000000000000003,-2.0121596296967055,0.7622950819672132,positional,positional,"(8, 24)","(0, 61)",positional
2800,0.0,False,117.69207763671875,0.15000000000000002,-4.354603881835938,0.0,token,positional,"(8, 24)","(67, 67)",token
2850,0.42105263157894735,True,142.71949768066406,0.16000000000000003,-5.0,0.9210526315789473,positional,positional,"(36, 52)","(24, 62)",positional
2900,0.42105263157894735,False,112.79656982421875,0.12,-4.536881122789885,0.42105263157894735,semantic,positional,"(36, 52)","(30, 68)",semantic
2950,0.043478260869565216,False,103.9036636352539,0.16000000000000003,-3.7066614426322606,0.043478260869565216,syntactic,positional,"(36, 52)","(29, 37)",syntactic
3000,0.0,True,159.92373657226562,0.16000000000000003,-5.0,0.5,positional,positional,"(60, 76)","(14, 21)",positional
3050,0.21875,True,143.61668395996094,0.15000000000000002,-5.0,0.71875,positional,positional,"(36, 52)","(20, 43)",positional
3100,0.0,True,90.94642639160156,0.16000000000000003,-3.515321319580078,0.5,positional,positional,"(60, 76)","(7, 51)",positional
3150,0.0,True,106.40930938720703,0.15000000000000002,-4.290465469360351,0.5,positional,positional,"(36, 52)","(75, 75)",positional
3200,0.2857142857142857,False,157.30259704589844,0.17,-5.0,0.2857142857142857,semantic,positional,"(8, 24)","(1, 57)",semantic
3250,0.0,True,109.97662353515625,0.16000000000000003,-4.466831176757813,0.5,positional,positional,"(60, 76)","(40, 49)",positional
3300,0.2962962962962963,False,101.11380767822266,0.16000000000000003,-3.819986680207429,0.2962962962962963,token,positional,"(36, 52)","(14, 68)",token
3350,0.0,False,192.23709106445312,0.18000000000000002,-5.0,0.0,token,positional,"(60, 76)","(2, 59)",token
3400,0.0,False,202.380615234375,0.19,-5.0,0.0,token,positional,"(60, 76)","(47, 54)",token
3450,0.0,False,94.27918243408203,0.13,-3.1879591217041017,0.0,syntactic,positional,"(60, 76)","(31, 40)",syntactic
3500,0.0,False,226.04818725585938,0.16000000000000003,-5.0,0.0,syntactic,positional,"(60, 76)","(29, 31)",syntactic
3550,0.4375,False,182.08499145507812,0.13,-5.0,0.4375,semantic,positional,"(36, 52)","(45, 52)",semantic
3600,0.0,False,120.34841918945312,0.13999999999999999,-4.489420959472657,0.0,token,positional,"(60, 76)","(55, 56)",token
3650,0.391304347826087,False,163.37876892089844,0.2,-5.0,0.391304347826087,syntactic,positional,"(36, 52)","(29, 45)",syntactic
3700,0.0,False,90.37242126464844,0.12,-2.9946210632324224,0.0,semantic,positional,"(60, 76)","(16, 50)",semantic
3750,0.10526315789473684,False,197.4086456298828,0.1,-5.0,0.10526315789473684,token,positional,"(60, 76)","(38, 64)",token
3800,0.0,False,113.21379852294922,0.16000000000000003,-4.128689926147461,0.0,semantic,positional,"(36, 52)","(64, 65)",semantic
3850,0.07692307692307693,True,111.86377716064453,0.15000000000000002,-4.640111934955303,0.5769230769230769,positional,positional,"(60, 76)","(11, 65)",positional
3900,0.0,False,137.7641143798828,0.13999999999999999,-5.0,0.0,syntactic,positional,"(60, 76)","(4, 5)",syntactic
3950,0.0625,False,119.75312042236328,0.13,-4.524156021118164,0.0625,semantic,positional,"(60, 76)","(63, 64)",semantic
4000,0.0,False,95.69931030273438,0.15000000000000002,-3.254965515136719,0.0,syntactic,positional,"(8, 24)","(25, 57)",syntactic
4050,0.0,False,82.27784729003906,0.2,-2.573892364501953,0.0,token,positional,"(60, 76)","(51, 57)",token
4100,0.0,False,172.63446044921875,0.19,-5.0,0.0,syntactic,positional,"(60, 76)","(56, 58)",syntactic
4150,0.0,False,73.66885375976562,0.13,-2.1574426879882815,0.0,syntactic,positional,"(60, 76)","(3, 11)",syntactic
4200,0.0,False,167.45443725585938,0.12,-5.0,0.0,token,positional,"(60, 76)","(37, 53)",token
4250,0.0,False,85.29106903076172,0.12,-2.740553451538086,0.0,syntactic,positional,"(60, 76)","(44, 56)",syntactic
4300,0.0,False,110.73627471923828,0.13999999999999999,-4.0088137359619145,0.0,semantic,positional,"(60, 76)","(17, 22)",semantic
4350,0.5,False,181.65475463867188,0.09,-5.0,0.5,token,positional,"(36, 52)","(34, 66)",token
4400,0.0,False,145.3069610595703,0.12,-5.0,0.0,token,positional,"(60, 76)","(7, 34)",token
4450,0.35,False,135.634033203125,0.17,-5.0,0.35,semantic,positional,"(60, 76)","(56, 67)",semantic
4500,0.0,False,113.68206024169922,0.12,-4.160103012084961,0.0,token,positional,"(60, 76)","(9, 46)",token
4550,0.0,False,76.73052215576172,0.16000000000000003,-2.304526107788086,0.0,semantic,positional,"(8, 24)","(63, 69)",semantic
4600,0.6153846153846154,False,88.63603973388672,0.13999999999999999,-3.5191866020789515,0.6153846153846154,semantic,positional,"(8, 24)","(0, 26)",semantic
4650,0.19230769230769232,False,84.78662872314453,0.16000000000000003,-2.899639128464919,0.19230769230769232,syntactic,positional,"(60, 76)","(50, 65)",syntactic
4700,0.0,False,193.59698486328125,0.13999999999999999,-5.0,0.0,semantic,positional,"(60, 76)","(14, 50)",semantic
4750,0.0,False,201.078857421875,0.11000000000000001,-5.0,0.0,token,positional,"(36, 52)","(25, 27)",token
4800,0.19047619047619047,False,73.29467010498047,0.16000000000000003,-2.3232096957252137,0.19047619047619047,semantic,positional,"(60, 76)","(55, 64)",semantic
4850,0.3103448275862069,False,103.04439544677734,0.13999999999999999,-3.934564599925074,0.3103448275862069,syntactic,positional,"(60, 76)","(47, 69)",syntactic
4900,0.0,False,132.347900390625,0.11000000000000001,-5.0,0.0,token,positional,"(36, 52)","(62, 67)",token
4950,0.0,False,34.80466842651367,0.12,-0.2162334213256836,0.0,token,positional,"(60, 76)","(11, 22)",token
5000,0.3235294117647059,False,112.37068939208984,0.17,-4.408063881369198,0.3235294117647059,semantic,positional,"(36, 52)","(18, 47)",semantic
5050,0.0,False,119.59591674804688,0.13999999999999999,-4.4517958374023445,0.0,token,positional,"(60, 76)","(1, 25)",token
5100,0.0,False,43.911678314208984,0.12,-0.6715839157104493,0.0,semantic,positional,"(36, 52)","(60, 63)",semantic
